Epoch 75: ADE 0.3924097716808319, ACC 88.19446073499884
Epoch 76: Loss_1 3.3210756966633164, Loss_2 0.7515331412771066
Epoch 77: Loss_1 3.3173573874487667, Loss_2 0.74814619733195
Epoch 78: Loss_1 3.3151068405564783, Loss_2 0.7427093819738022
Epoch 79: Loss_1 3.3141632620336976, Loss_2 0.7427642687494531
Epoch 80: Loss_1 3.316196151554878, Loss_2 0.7311045455521551
Epoch 80: ADE 0.39667531847953796, ACC 88.416276611603
Epoch 81: Loss_1 3.30955466261051, Loss_2 0.7378650425102911
Epoch 82: Loss_1 3.315283648486208, Loss_2 0.7436142083752919
Epoch 83: Loss_1 3.313527587599355, Loss_2 0.7398898368104926
Epoch 84: Loss_1 3.311473563386889, Loss_2 0.7311688931704742
Epoch 85: Loss_1 3.3084366356797994, Loss_2 0.7378476935948057
Epoch 85: ADE 0.3922882676124573, ACC 88.1916456749488
Epoch 86: Loss_1 3.302884939268892, Loss_2 0.7344181014986461
Epoch 87: Loss_1 3.3035222015944607, Loss_2 0.723618216555694
Epoch 88: Loss_1 3.3028265044019727, Loss_2 0.7124140719181211
Epoch 89: Loss_1 3.2997355308438756, Loss_2 0.7223083898058078
Epoch 90: Loss_1 3.2994478406577277, Loss_2 0.7165113913601843
Epoch 90: ADE 0.3940204679965973, ACC 88.27535259393902
Epoch 91: Loss_1 3.3012544768197194, Loss_2 0.7235349622266046
Epoch 92: Loss_1 3.2983181135995046, Loss_2 0.72045745564799
Epoch 93: Loss_1 3.2977509815704646, Loss_2 0.7206495393966806
Epoch 94: Loss_1 3.2940243018671795, Loss_2 0.7223162777318156
Epoch 95: Loss_1 3.292278206407143, Loss_2 0.7238176600099198
Epoch 95: ADE 0.39617234468460083, ACC 88.23754464600162
Epoch 96: Loss_1 3.292607478907543, Loss_2 0.7047390732271918
Epoch 97: Loss_1 3.291869370220917, Loss_2 0.7245574242669374
Epoch 98: Loss_1 3.2900922556816066, Loss_2 0.7117614656539973
Epoch 99: Loss_1 3.2884325358667983, Loss_2 0.709898632001407
Epoch 100: Loss_1 3.2860743012921563, Loss_2 0.7119202988194715
Epoch 100: ADE 0.39426907896995544, ACC 88.14498909320614
Epoch 101: Loss_1 3.2866505214146207, Loss_2 0.6879911129110552
Epoch 102: Loss_1 3.285710203236547, Loss_2 0.7250663163920341
Epoch 103: Loss_1 3.285972291025622, Loss_2 0.704032938321823
Epoch 104: Loss_1 3.2854350987326337, Loss_2 0.7020899439092927
Epoch 105: Loss_1 3.2835799813857807, Loss_2 0.7085951494759527
Epoch 105: ADE 0.39432844519615173, ACC 88.19376301334857
Epoch 106: Loss_1 3.2816738988378367, Loss_2 0.7074072168672026
Epoch 107: Loss_1 3.277857483314176, Loss_2 0.7043648392989718
Epoch 108: Loss_1 3.2764691319958916, Loss_2 0.6997779603368544
Epoch 109: Loss_1 3.279129539217268, Loss_2 0.7190966843971478
Epoch 110: Loss_1 3.2786081095634425, Loss_2 0.7063149320961807
Epoch 110: ADE 0.39176908135414124, ACC 88.22181476219252
Epoch 111: Loss_1 3.2784537270738574, Loss_2 0.7060746346494834
Epoch 112: Loss_1 3.27610280243634, Loss_2 0.70894887661699
Epoch 113: Loss_1 3.271186838009087, Loss_2 0.7026918069482437
Epoch 114: Loss_1 3.274285062780521, Loss_2 0.7024166109820305
Epoch 115: Loss_1 3.2728669725615402, Loss_2 0.7033383088746095
Epoch 115: ADE 0.3923611044883728, ACC 88.1434238182079
Epoch 116: Loss_1 3.2701893134657385, Loss_2 0.7109039672489824
Epoch 117: Loss_1 3.2693670453696417, Loss_2 0.7024112997090288
Epoch 118: Loss_1 3.2690391387845494, Loss_2 0.6989735316466815
Epoch 119: Loss_1 3.2709737657913434, Loss_2 0.6990491098958284
Epoch 120: Loss_1 3.2660053469277366, Loss_2 0.702219772955467
Epoch 120: ADE 0.3940220773220062, ACC 88.12853441232316
Epoch 121: Loss_1 3.26305516482574, Loss_2 0.6946294787775706
Epoch 122: Loss_1 3.262989084121629, Loss_2 0.69859468980963
Epoch 123: Loss_1 3.2593429100337286, Loss_2 0.6934493919605105
Epoch 124: Loss_1 3.2646022547642, Loss_2 0.7070095756371033
Epoch 125: Loss_1 3.257922053924335, Loss_2 0.700982852669185
Epoch 125: ADE 0.39363956451416016, ACC 88.1270700370768
Epoch 126: Loss_1 3.2591001259282306, Loss_2 0.6995737153321064
Epoch 127: Loss_1 3.2581110141547445, Loss_2 0.7110429570592683
Epoch 128: Loss_1 3.25882045388809, Loss_2 0.7179157430021633
Epoch 129: Loss_1 3.2542253210039562, Loss_2 0.6986401600790728
Epoch 130: Loss_1 3.258132867625194, Loss_2 0.6920020172161422
Epoch 130: ADE 0.39318689703941345, ACC 88.26319374182906
Epoch 131: Loss_1 3.2522227329573608, Loss_2 0.6938013651688111
Epoch 132: Loss_1 3.256465366908482, Loss_2 0.7011643557125712
Epoch 133: Loss_1 3.248402978399117, Loss_2 0.7135643037081939
Epoch 134: Loss_1 3.2551711932778944, Loss_2 0.7070121969201882
Epoch 135: Loss_1 3.249320840600676, Loss_2 0.6952188199964063
Epoch 135: ADE 0.3919575810432434, ACC 88.18911852956118
Epoch 136: Loss_1 3.2490179127660292, Loss_2 0.6918172633706643
Epoch 137: Loss_1 3.249666966828219, Loss_2 0.6994186804212373
Epoch 138: Loss_1 3.2455855813519707, Loss_2 0.7006794361058127
Epoch 139: Loss_1 3.247909352109937, Loss_2 0.6978498322916735
Epoch 140: Loss_1 3.243705465288585, Loss_2 0.7048748448270882
Epoch 140: ADE 0.39376550912857056, ACC 88.16458973514472
Epoch 141: Loss_1 3.2449356687480004, Loss_2 0.7016138308153951
Epoch 142: Loss_1 3.2417594470414035, Loss_2 0.6961522808509507
Epoch 143: Loss_1 3.2417432933018127, Loss_2 0.7027180807050226
Epoch 144: Loss_1 3.2349057361997406, Loss_2 0.7001494178043798
Epoch 145: Loss_1 3.240271259411215, Loss_2 0.6948849094912336
Epoch 145: ADE 0.3937607407569885, ACC 88.17680572364993
Epoch 146: Loss_1 3.238050190686005, Loss_2 0.6909136711963879
Epoch 147: Loss_1 3.238691300594161, Loss_2 0.6966951098935358
Epoch 148: Loss_1 3.2376406991423057, Loss_2 0.7022473672634275
Epoch 149: Loss_1 3.235708201460063, Loss_2 0.7031132022441902
Epoch 150: Loss_1 3.229533216636169, Loss_2 0.6980816249189705
Epoch 150: ADE 0.39173683524131775, ACC 88.18457989619036
Epoch 151: Loss_1 3.236205119804796, Loss_2 0.7039759206067165
Epoch 152: Loss_1 3.231054804007995, Loss_2 0.6892268367001576
Epoch 153: Loss_1 3.2300697876314812, Loss_2 0.6968692947784668
Epoch 154: Loss_1 3.229615114005328, Loss_2 0.6905015987422078
Epoch 155: Loss_1 3.226630335370895, Loss_2 0.706756299352411
Epoch 155: ADE 0.3931228220462799, ACC 88.16591578373722
Epoch 156: Loss_1 3.2279750044122704, Loss_2 0.6957609195427354
Epoch 157: Loss_1 3.2284390092483295, Loss_2 0.7014276972545191
Epoch 158: Loss_1 3.2253095352003727, Loss_2 0.6980832752042216
Epoch 159: Loss_1 3.2187616402292485, Loss_2 0.6956810146717015
Epoch 160: Loss_1 3.220348561338603, Loss_2 0.7056443513614203
Epoch 160: ADE 0.39205342531204224, ACC 88.16869981168747
Epoch 161: Loss_1 3.225351183285267, Loss_2 0.6946942561072081
Epoch 162: Loss_1 3.217268290778099, Loss_2 0.6944658223337727
Epoch 163: Loss_1 3.220248638115493, Loss_2 0.7012954759480331
Epoch 164: Loss_1 3.2175040656122667, Loss_2 0.7002058382985628
Epoch 165: Loss_1 3.2168990825784616, Loss_2 0.7013256455877145
Epoch 165: ADE 0.39210009574890137, ACC 88.16839857268099
Epoch 166: Loss_1 3.2193906131049097, Loss_2 0.7019365569347231
Epoch 167: Loss_1 3.2169605440694125, Loss_2 0.7094505248692236
Epoch 168: Loss_1 3.2147735668520623, Loss_2 0.6977161390734423
Epoch 169: Loss_1 3.218691392485144, Loss_2 0.6884371876129376
Epoch 170: Loss_1 3.213816566420306, Loss_2 0.6986116473310686
Epoch 170: ADE 0.39270737767219543, ACC 88.26237459661951
Epoch 171: Loss_1 3.213449394761635, Loss_2 0.6989783309950617
Epoch 172: Loss_1 3.215491182111167, Loss_2 0.689905629809854
Epoch 173: Loss_1 3.2107932461893616, Loss_2 0.7039336064472574
Epoch 174: Loss_1 3.2110525281558484, Loss_2 0.6866473495372998
Epoch 175: Loss_1 3.209192591934956, Loss_2 0.701046294473075
Epoch 175: ADE 0.39209863543510437, ACC 88.15379890801086
Epoch 176: Loss_1 3.2082639844546765, Loss_2 0.7007009259292057
Epoch 177: Loss_1 3.2069470624031102, Loss_2 0.709976310800449
Epoch 178: Loss_1 3.2084986012557457, Loss_2 0.6998472388448387
Epoch 179: Loss_1 3.2061601812616356, Loss_2 0.6922801981124972
Epoch 180: Loss_1 3.2033272459001965, Loss_2 0.701620713683772
Epoch 180: ADE 0.3944239914417267, ACC 88.1294017809628
Epoch 181: Loss_1 3.20686356187454, Loss_2 0.708013048900172
Epoch 182: Loss_1 3.2033225209842175, Loss_2 0.7031868684468011
Epoch 183: Loss_1 3.202497413005735, Loss_2 0.7056859465949054
Epoch 184: Loss_1 3.2001327282102237, Loss_2 0.7061160934969709
Epoch 185: Loss_1 3.202196877578209, Loss_2 0.6954497834438174
Epoch 185: ADE 0.39592471718788147, ACC 88.21194937633395
Epoch 186: Loss_1 3.199490154905272, Loss_2 0.6932133936823295
Epoch 187: Loss_1 3.2013052061860785, Loss_2 0.6961753032183999
Epoch 188: Loss_1 3.196207784079566, Loss_2 0.7030210864954981
Epoch 189: Loss_1 3.1959605557577953, Loss_2 0.6999297415094422
Epoch 190: Loss_1 3.196911076606788, Loss_2 0.6932652203613902
Epoch 190: ADE 0.39083898067474365, ACC 88.15956796341925
Epoch 191: Loss_1 3.194082275400021, Loss_2 0.6973901979735332
Epoch 192: Loss_1 3.1967384580320912, Loss_2 0.6891087506498609
Epoch 193: Loss_1 3.196334706151427, Loss_2 0.6955373436946587
Epoch 194: Loss_1 3.195035486972978, Loss_2 0.7123616800226015
Epoch 195: Loss_1 3.1892474660732475, Loss_2 0.6921767702537217
Epoch 195: ADE 0.3933317959308624, ACC 88.08463578397057
Epoch 196: Loss_1 3.184239329962895, Loss_2 0.6980457347014855
Epoch 197: Loss_1 3.189884583938298, Loss_2 0.6993574406125863
Epoch 198: Loss_1 3.187444830175691, Loss_2 0.6980095392671125
Epoch 199: Loss_1 3.188351348115893, Loss_2 0.686637847881599
