Epoch 0: Loss_1 5.035431995767678, Loss_2 8.832870102868291
Epoch 0: ADE 1.7911187410354614, ACC 87.25454092224916
Epoch 1: Loss_1 4.632664243575975, Loss_2 4.286954425238624
Epoch 2: Loss_1 4.434941836765835, Loss_2 4.044195982035745
Epoch 3: Loss_1 4.316324781314493, Loss_2 3.6573342343269313
Epoch 4: Loss_1 4.215533653503568, Loss_2 3.588064349343624
Epoch 5: Loss_1 4.197485543236944, Loss_2 3.5815826566348523
Epoch 5: ADE 1.5884416103363037, ACC 84.20324116006407
Epoch 6: Loss_1 4.129223919854375, Loss_2 3.499209684691406
Epoch 7: Loss_1 4.089099977991264, Loss_2 3.4795665212452707
Epoch 8: Loss_1 4.061856411947993, Loss_2 3.4634230671257806
Epoch 9: Loss_1 4.029996888390903, Loss_2 3.4450116462895437
Epoch 10: Loss_1 4.0099608404883025, Loss_2 3.4094477375152663
Epoch 10: ADE 1.3975437879562378, ACC 86.67387604274954
Epoch 11: Loss_1 3.9781571526832766, Loss_2 3.408731208646239
Epoch 12: Loss_1 3.960045499754657, Loss_2 3.403262123685752
Epoch 13: Loss_1 3.9382571939177113, Loss_2 3.39695634982856
Epoch 14: Loss_1 3.9345543325828216, Loss_2 3.3978122507997335
Epoch 15: Loss_1 3.9354793132819568, Loss_2 3.394172174002737
Epoch 15: ADE 1.435658574104309, ACC 84.87202998983987
Epoch 16: Loss_1 3.9250932303555492, Loss_2 3.3913160127959228
Epoch 17: Loss_1 3.9088844994606053, Loss_2 3.388543398509472
Epoch 18: Loss_1 3.9207265059936223, Loss_2 3.390902973160955
Epoch 19: Loss_1 3.8997132237908874, Loss_2 3.3876116710343385
Epoch 20: Loss_1 3.8987219028284983, Loss_2 3.373753764359235
Epoch 20: ADE 1.4430742263793945, ACC 82.72468591116845
Epoch 21: Loss_1 3.874131865102082, Loss_2 3.3728222353705046
Epoch 22: Loss_1 3.8651808083351025, Loss_2 3.369288015248153
Epoch 23: Loss_1 3.86636716861443, Loss_2 3.3705161563281356
Epoch 24: Loss_1 3.853999665218034, Loss_2 3.3721785862457576
Epoch 25: Loss_1 3.8607671284323257, Loss_2 3.3683476859125596
Epoch 25: ADE 1.4296960830688477, ACC 86.90969900187108
Epoch 26: Loss_1 3.8470404852787263, Loss_2 3.368277293120699
Epoch 27: Loss_1 3.832947914236285, Loss_2 3.369456508476746
Epoch 28: Loss_1 3.840392623628889, Loss_2 3.366097760317948
Epoch 29: Loss_1 3.830895063325102, Loss_2 3.3665811492891735
Epoch 30: Loss_1 3.828792923189736, Loss_2 3.361803184001904
Epoch 30: ADE 1.4335545301437378, ACC 83.14822870229943
Epoch 31: Loss_1 3.8168470237055434, Loss_2 3.362790619798482
Epoch 32: Loss_1 3.8146040145986775, Loss_2 3.3587406674042124
Epoch 33: Loss_1 3.8080806814391037, Loss_2 3.359461687468543
Epoch 34: Loss_1 3.805334074743863, Loss_2 3.361178471537059
Epoch 35: Loss_1 3.804598565172092, Loss_2 3.359289972065705
Epoch 35: ADE 1.4232934713363647, ACC 82.13043803022722

Epoch 0: Loss_1 5.192495402444172, Loss_2 154.90635869068464
Epoch 0: ADE 1.9322197437286377, ACC 76.0672648939253
Epoch 1: Loss_1 4.765385089836684, Loss_2 82.56457600335182
Epoch 2: Loss_1 4.67692139348373, Loss_2 73.5770153740944
Epoch 3: Loss_1 4.574325185691195, Loss_2 71.42810544356924
Epoch 4: Loss_1 4.48525661318173, Loss_2 70.286802103954
Epoch 5: Loss_1 4.523774085960952, Loss_2 70.56534608361757
Epoch 5: ADE 1.6107100248336792, ACC 90.08252935784176
Epoch 6: Loss_1 4.516990154247566, Loss_2 70.29190003343403
Epoch 7: Loss_1 4.40483347418273, Loss_2 69.19389202324628
Epoch 8: Loss_1 4.428658165955191, Loss_2 69.51237267931107
Epoch 9: Loss_1 4.414325695319716, Loss_2 69.54464836308522
Epoch 10: Loss_1 4.2455210944114645, Loss_2 68.2323780811479
Epoch 10: ADE 1.6029969453811646, ACC 89.28203488902484
Epoch 11: Loss_1 4.211014465745447, Loss_2 68.07038842750887
Epoch 12: Loss_1 4.2119874977713145, Loss_2 67.98371051919871
Epoch 13: Loss_1 4.222215542065099, Loss_2 68.16994508264101
Epoch 14: Loss_1 4.185463192427687, Loss_2 68.04344972131288
Epoch 15: Loss_1 4.221917645684604, Loss_2 68.11959168946214
Epoch 15: ADE 1.5872530937194824, ACC 90.85101484177241
Epoch 16: Loss_1 4.168686732870017, Loss_2 68.01300231106762
Epoch 17: Loss_1 4.148053606155471, Loss_2 67.81242396913726
Epoch 18: Loss_1 4.150076163813399, Loss_2 67.74613437746547
Epoch 19: Loss_1 4.1397697056455565, Loss_2 67.70377629848537
Epoch 20: Loss_1 4.115191203620046, Loss_2 67.49244791416112
Epoch 20: ADE 1.5867365598678589, ACC 90.38880847334956
Epoch 21: Loss_1 4.097038576755618, Loss_2 67.46443873438342
Epoch 22: Loss_1 4.091658284511472, Loss_2 67.43061325937656
Epoch 23: Loss_1 4.085010393499741, Loss_2 67.37710144719466
Epoch 24: Loss_1 4.089634755562091, Loss_2 67.35158855457024
Epoch 25: Loss_1 4.076584273371203, Loss_2 67.36602981454634
Epoch 25: ADE 1.6172528266906738, ACC 88.88605430602816
Epoch 26: Loss_1 4.087974697498265, Loss_2 67.37887342105358
Epoch 27: Loss_1 4.076673710874736, Loss_2 67.376918773933
Epoch 28: Loss_1 4.073121069687341, Loss_2 67.30357998815076
Epoch 29: Loss_1 4.061914252530178, Loss_2 67.33494966253271
