Epoch 0: Loss_1 4.790515288930808, Loss_2 8.782985356053695
Epoch 0: ADE 1.649443507194519, ACC 86.76078480213184
Epoch 1: Loss_1 4.278324286925969, Loss_2 3.8941672488386407
Epoch 2: Loss_1 4.093987427321561, Loss_2 3.5786710272868865
Epoch 3: Loss_1 3.996538486386755, Loss_2 3.5168687293094956
Epoch 4: Loss_1 3.9090194185379104, Loss_2 3.4746252380568405
Epoch 5: Loss_1 3.9060424360735664, Loss_2 3.4751475773421414
Epoch 5: ADE 1.631422758102417, ACC 89.42898477205894
Epoch 6: Loss_1 3.8583663707883487, Loss_2 3.440621052469526
Epoch 7: Loss_1 3.8264801549206813, Loss_2 3.4270666455987637
Epoch 8: Loss_1 3.815610871526408, Loss_2 3.4362600595493036
Epoch 9: Loss_1 3.7689482989569605, Loss_2 3.4145466928998824
Epoch 10: Loss_1 3.757301556065752, Loss_2 3.3939186904230727
Epoch 10: ADE 1.426992416381836, ACC 90.840667258455
Epoch 11: Loss_1 3.7190983624293885, Loss_2 3.3895577990950034
Epoch 12: Loss_1 3.704039088610945, Loss_2 3.388261128528952
Epoch 13: Loss_1 3.6952991180232004, Loss_2 3.382939362760835
Epoch 14: Loss_1 3.694387762417347, Loss_2 3.3816571593871845
Epoch 15: Loss_1 3.686500258046418, Loss_2 3.377556080301407
Epoch 15: ADE 1.398231863975525, ACC 89.42386087256315
Epoch 16: Loss_1 3.6952455466604, Loss_2 3.3707622371870896
Epoch 17: Loss_1 3.671179863032449, Loss_2 3.3372489448838634
Epoch 18: Loss_1 3.6746976528261683, Loss_2 3.0094047062502707
Epoch 19: Loss_1 3.671538867386691, Loss_2 2.2007401104043858
Epoch 20: Loss_1 3.672905328825777, Loss_2 1.3346091988932323
Epoch 20: ADE 0.7518097162246704, ACC 85.29148427655015
Epoch 21: Loss_1 3.666968389097693, Loss_2 0.7585628007726716
Epoch 22: Loss_1 3.645342493292146, Loss_2 0.4484362818043807
Epoch 23: Loss_1 3.6418372363292524, Loss_2 0.32542527492704065
Epoch 24: Loss_1 3.6395240428999727, Loss_2 0.26027365003166525
Epoch 25: Loss_1 3.642755003398275, Loss_2 0.21898150278870107
Epoch 25: ADE 0.6952996253967285, ACC 86.88181748569309
Epoch 26: Loss_1 3.631865583617112, Loss_2 0.20158832373437036
Epoch 27: Loss_1 3.6223053920445185, Loss_2 0.18896267464008237
Epoch 28: Loss_1 3.625543348894918, Loss_2 0.18591207225481277
Epoch 29: Loss_1 3.6090602404965555, Loss_2 0.1649787375345606
Epoch 30: Loss_1 3.611455237336934, Loss_2 0.12728229128374843
Epoch 30: ADE 0.6400718688964844, ACC 88.32100814439363
Epoch 31: Loss_1 3.6029300689697266, Loss_2 0.12287169786656431
Epoch 32: Loss_1 3.5903409267293998, Loss_2 0.11220515453316308
Epoch 33: Loss_1 3.5876256526984607, Loss_2 0.11426334204198105
Epoch 34: Loss_1 3.58889132297685, Loss_2 0.10392027339104361
Epoch 35: Loss_1 3.584421595916372, Loss_2 0.10349427073680122
Epoch 35: ADE 0.6634114980697632, ACC 87.95451744394305
Epoch 36: Loss_1 3.5777925317510597, Loss_2 0.11050687752333768
Epoch 37: Loss_1 3.5765291587472547, Loss_2 0.09893366165936286
Epoch 38: Loss_1 3.572717753537183, Loss_2 0.09303987532707271
Epoch 39: Loss_1 3.5683305486669683, Loss_2 0.08833435486102927
Epoch 40: Loss_1 3.5745672240045856, Loss_2 0.08043984488900659
Epoch 40: ADE 0.6691281795501709, ACC 86.73491232769248
Epoch 41: Loss_1 3.5670807361602783, Loss_2 0.07801542697208268
