Epoch 75: Loss_1 3.3429415179003636, Loss_2 1.1094631725931403
Epoch 75: ADE 0.5688063502311707, ACC 85.82609829451891
Epoch 76: Loss_1 3.3407477228512317, Loss_2 1.1120177692380444


Epoch 0: Loss_1 4.494089402588718, Loss_2 189.12468768340614
Epoch 0: ADE 2.405874729156494, ACC 79.77229910768729
Epoch 1: Loss_1 4.197392333317273, Loss_2 74.60830040165943
Epoch 2: Loss_1 4.044508763722011, Loss_2 72.33762975984018
Epoch 3: Loss_1 3.973841627243117, Loss_2 71.51100141778956
Epoch 4: Loss_1 3.893894740513393, Loss_2 71.28583409163753
Epoch 5: Loss_1 3.790852296528558, Loss_2 70.1333454770995
Epoch 5: ADE 1.3803074359893799, ACC 89.21999602746348
Epoch 6: Loss_1 3.7442469397201914, Loss_2 69.54350307069976
Epoch 7: Loss_1 3.8267044069731764, Loss_2 70.2773016567888
Epoch 8: Loss_1 3.6804845579739274, Loss_2 69.02780196467057
Epoch 9: Loss_1 3.667093839551428, Loss_2 65.25261056834253
Epoch 10: Loss_1 3.850386600776259, Loss_2 29.77331075997188
Epoch 10: ADE 0.6833426356315613, ACC 89.14012125516535
Epoch 11: Loss_1 3.7580220194285725, Loss_2 16.92217830601584
Epoch 12: Loss_1 3.7062740231969675, Loss_2 14.886896201542445
Epoch 13: Loss_1 3.583693620606596, Loss_2 10.63503692537693
Epoch 14: Loss_1 3.513222292726263, Loss_2 7.845944901405297
Epoch 15: Loss_1 3.5187250546046664, Loss_2 6.724430312076813
Epoch 15: ADE 0.5122360587120056, ACC 89.97995822237543
Epoch 16: Loss_1 3.5133236488097994, Loss_2 6.306623609195202
Epoch 17: Loss_1 3.4942527263622565, Loss_2 5.360726658346618
Epoch 18: Loss_1 3.504119728586357, Loss_2 4.888976228648219
Epoch 19: Loss_1 3.485708012369466, Loss_2 4.62833805741935
Epoch 20: Loss_1 3.4798062904714953, Loss_2 3.7098600647132387
Epoch 20: ADE 0.46283072233200073, ACC 90.90326275432967
Epoch 21: Loss_1 3.4627373864498043, Loss_2 3.399222307604522
Epoch 22: Loss_1 3.45438421183619, Loss_2 2.9915415835498003
Epoch 23: Loss_1 3.4532256878068295, Loss_2 2.947274658480301
Epoch 24: Loss_1 3.4612840208513984, Loss_2 2.7745242500540073
Epoch 25: Loss_1 3.452144201165937, Loss_2 2.559050559410321
Epoch 25: ADE 0.445003867149353, ACC 90.39845694906849
Epoch 26: Loss_1 3.4505480240131248, Loss_2 2.7312910732964575
Epoch 27: Loss_1 3.444847811619049, Loss_2 2.49286820031152
Epoch 28: Loss_1 3.4501353625593514, Loss_2 2.300615936664525
Epoch 29: Loss_1 3.440685206446154, Loss_2 2.606399900807536
Epoch 30: Loss_1 3.4269542365238586, Loss_2 1.7466974287784744
Epoch 30: ADE 0.42775923013687134, ACC 90.71215668204846
Epoch 31: Loss_1 3.421885633703523, Loss_2 1.6726860944273436
Epoch 32: Loss_1 3.417507737728175, Loss_2 1.6005850484218505
Epoch 33: Loss_1 3.4114441895132583, Loss_2 1.5877615985611977
Epoch 34: Loss_1 3.4105580181911073, Loss_2 1.4893751890201288
Epoch 35: Loss_1 3.4176583642442826, Loss_2 1.4689082658936825
Epoch 35: ADE 0.4357408881187439, ACC 89.90624016879377
Epoch 36: Loss_1 3.413444361663217, Loss_2 1.4806782247984938
Epoch 37: Loss_1 3.414261631190483, Loss_2 1.4140577615775498
Epoch 38: Loss_1 3.4098652066855597, Loss_2 1.4103890584020191
Epoch 39: Loss_1 3.4019984106712156, Loss_2 1.3574854910667307
Epoch 40: Loss_1 3.404015854661688, Loss_2 1.17276525644246
Epoch 40: ADE 0.40920478105545044, ACC 89.18269587393534
Epoch 41: Loss_1 3.400232117751549, Loss_2 1.0938618012837
Epoch 42: Loss_1 3.399810515013822, Loss_2 1.0882646156649285
Epoch 43: Loss_1 3.3999246153338203, Loss_2 1.085183400238676
Epoch 44: Loss_1 3.405731494790815, Loss_2 1.1570072091858963
Epoch 45: Loss_1 3.39642580741732, Loss_2 1.0273755357183258
Epoch 45: ADE 0.4129086434841156, ACC 90.23413911082827
Epoch 46: Loss_1 3.392120536325013, Loss_2 1.0040651236848879
Epoch 47: Loss_1 3.3922569481610076, Loss_2 0.9972756704673391
Epoch 48: Loss_1 3.3907468236725906, Loss_2 0.9964843715352966
Epoch 49: Loss_1 3.3937988774529817, Loss_2 1.006796609885587
Epoch 50: Loss_1 3.3938706496666216, Loss_2 0.9054612537910198
Epoch 50: ADE 0.40628793835639954, ACC 90.74715978740295
Epoch 51: Loss_1 3.386789199753935, Loss_2 0.8855540496962411
