
Epoch 74: Loss_1 3.1146936709420725, Loss_2 0.24663932987472467
Epoch 75: Loss_1 3.1101625551257217, Loss_2 0.2366676287431466
Epoch 75: ADE 0.5482341051101685, ACC 93.91612339690185
Epoch 76: Loss_1 3.1131682312279416, Loss_2 0.24364724872927918
Epoch 77: Loss_1 3.11578575351782, Loss_2 0.24291179891218218
Epoch 78: Loss_1 3.110964620322512, Loss_2 0.24354539367190578
Epoch 79: Loss_1 3.1072963622578404, Loss_2 0.24201295224198124
Epoch 80: Loss_1 3.107854437409786, Loss_2 0.24271481379605175
Epoch 80: ADE 0.5262518525123596, ACC 93.90971275612281
Epoch 81: Loss_1 3.1061072265892697, Loss_2 0.24247084205087863
Epoch 82: Loss_1 3.107805373375876, Loss_2 0.23622190690877146
Epoch 83: Loss_1 3.108821517542789, Loss_2 0.23569700697012114
Epoch 84: Loss_1 3.1035980007104707, Loss_2 0.23001585861569956
Epoch 85: Loss_1 3.1096015854885706, Loss_2 0.23646654737623116
Epoch 85: ADE 0.5219004154205322, ACC 93.90971275612281
Epoch 86: Loss_1 3.107389998017696, Loss_2 0.23468180981121564
Epoch 87: Loss_1 3.10651297318308, Loss_2 0.23599929506318612
Epoch 88: Loss_1 3.1024106092620314, Loss_2 0.23556449577996605
Epoch 89: Loss_1 3.106618977429574, Loss_2 0.23698654927705465
Epoch 90: Loss_1 3.100530281401517, Loss_2 0.23656082212140686
Epoch 90: ADE 0.5172200798988342, ACC 93.90971275612281
Epoch 91: Loss_1 3.1013921352854945, Loss_2 0.24255430515398058
Epoch 92: Loss_1 3.103377015967118, Loss_2 0.23287851088925413
Epoch 93: Loss_1 3.1016478245718435, Loss_2 0.23641090565606168
Epoch 94: Loss_1 3.103543658005564, Loss_2 0.23405091908940098
Epoch 95: Loss_1 3.09890734103688, Loss_2 0.23507102722661538
Epoch 95: ADE 0.5188528895378113, ACC 93.90971275612281
Epoch 96: Loss_1 3.097494029162223, Loss_2 0.23158493990960874
Epoch 97: Loss_1 3.1048899993561863, Loss_2 0.23937261483648367
Epoch 98: Loss_1 3.099434865148444, Loss_2 0.23512302927280726
Epoch 99: Loss_1 3.1008121925487853, Loss_2 0.23433601843160495
Epoch 100: Loss_1 3.1015965938568115, Loss_2 0.23091076497446028
Epoch 100: ADE 0.5212364792823792, ACC 93.90971275612281
Epoch 101: Loss_1 3.0947629443386147, Loss_2 0.24028248666671284
Epoch 102: Loss_1 3.1021921174568043, Loss_2 0.23503012837548004
Epoch 103: Loss_1 3.0956688889285973, Loss_2 0.2377559627618706
Epoch 104: Loss_1 3.0942907835307873, Loss_2 0.237306778368197
Epoch 105: Loss_1 3.098902831997788, Loss_2 0.23626254564314558
Epoch 105: ADE 0.5189636945724487, ACC 93.90971275612281
Epoch 106: Loss_1 3.0975084388465213, Loss_2 0.23654063699538247
Epoch 107: Loss_1 3.09530738780373, Loss_2 0.23544978807892716
Epoch 108: Loss_1 3.1007087732616223, Loss_2 0.2311927721950046
Epoch 109: Loss_1 3.0957023009919284, Loss_2 0.2332925426593998
Epoch 110: Loss_1 3.0951105251646878, Loss_2 0.2366756906634883
Epoch 110: ADE 0.5161998271942139, ACC 93.90971275612281
Epoch 111: Loss_1 3.097639242808024, Loss_2 0.22932444538986474
Epoch 112: Loss_1 3.097539215757136, Loss_2 0.23832587505641736
Epoch 113: Loss_1 3.0938015360581246, Loss_2 0.23659730140577284
Epoch 114: Loss_1 3.093427206340589, Loss_2 0.2382999042931356
Epoch 115: Loss_1 3.093932503148129, Loss_2 0.23332173952408003
Epoch 115: ADE 0.5152074694633484, ACC 93.90971275612281
Epoch 116: Loss_1 3.092782781835188, Loss_2 0.2395147732213924
Epoch 117: Loss_1 3.0876734214916564, Loss_2 0.23039542739851432
Epoch 118: Loss_1 3.0920102721766423, Loss_2 0.22964857623242496
Epoch 119: Loss_1 3.089474581835563, Loss_2 0.2298215568849915
Epoch 120: Loss_1 3.090858484569349, Loss_2 0.23588253897533082
Epoch 120: ADE 0.5118693113327026, ACC 93.90971275612281
Epoch 121: Loss_1 3.088284492492676, Loss_2 0.23156129411960902
Epoch 122: Loss_1 3.0932124413942037, Loss_2 0.23887614755515466
Epoch 123: Loss_1 3.089327619786848, Loss_2 0.23157082615714325
Epoch 124: Loss_1 3.087583725912529, Loss_2 0.2368489926060041
Epoch 125: Loss_1 3.0858426512333383, Loss_2 0.23057706510288672
Epoch 125: ADE 0.519699215888977, ACC 93.7756973462594
Epoch 126: Loss_1 3.0869950704407274, Loss_2 0.23635557346176683
Epoch 127: Loss_1 3.089949319237157, Loss_2 0.2266219185109724
Epoch 128: Loss_1 3.085402543084663, Loss_2 0.23501528211330114
Epoch 129: Loss_1 3.085830998002437, Loss_2 0.23818985738775186
Epoch 130: Loss_1 3.0862528775867664, Loss_2 0.22989393300131747
Epoch 130: ADE 0.5145308971405029, ACC 93.90971275612281
Epoch 131: Loss_1 3.085782946201793, Loss_2 0.23632992451128207
Epoch 132: Loss_1 3.084708180343896, Loss_2 0.23489414965897276
Epoch 133: Loss_1 3.0865969072308457, Loss_2 0.2325179367734675
Epoch 134: Loss_1 3.086626119780959, Loss_2 0.23371079930087976
Epoch 135: Loss_1 3.0823621582566645, Loss_2 0.2242255223947659
Epoch 135: ADE 0.5143917798995972, ACC 93.90971275612281
Epoch 136: Loss_1 3.089163148612307, Loss_2 0.23912080573408226
Epoch 137: Loss_1 3.083088180475068, Loss_2 0.23851029940864496
Epoch 138: Loss_1 3.086640797163311, Loss_2 0.235185380829008
