Epoch 75: Loss_1 3.0199546661282994, Loss_2 0.9828143357643353
Epoch 75: ADE 0.7196219563484192, ACC 83.28565495800046
Epoch 76: Loss_1 3.020766092638664, Loss_2 0.960818018525692
Epoch 77: Loss_1 3.0200367067835012, Loss_2 0.9475269587756378
Epoch 78: Loss_1 3.0190069299613316, Loss_2 0.952842791826267
Epoch 79: Loss_1 3.0187219234522926, Loss_2 0.965321777783004
Epoch 80: Loss_1 3.0152536671737145, Loss_2 0.9417425916699941
Epoch 80: ADE 0.7260206341743469, ACC 83.1887388477746
Epoch 81: Loss_1 3.0147307682507143, Loss_2 0.9351080353624128
Epoch 82: Loss_1 3.016094358096569, Loss_2 0.9468953356954265
Epoch 83: Loss_1 3.009798572568471, Loss_2 0.9418425548252801
Epoch 84: Loss_1 3.014691443278872, Loss_2 0.9467005920527604
Epoch 85: Loss_1 3.008670044649998, Loss_2 0.932093668453799
Epoch 85: ADE 0.7223988175392151, ACC 83.25352742503658
Epoch 86: Loss_1 3.0146728325359926, Loss_2 0.9287783574000955
Epoch 87: Loss_1 3.0064420535646637, Loss_2 0.9411650150280281
Epoch 88: Loss_1 3.008800147202215, Loss_2 0.9476488323634481
Epoch 89: Loss_1 3.0082950110505955, Loss_2 0.9361748742352566
Epoch 90: Loss_1 3.0024125446826955, Loss_2 0.9175148544640377
Epoch 90: ADE 0.7143030762672424, ACC 83.44441546659738
Epoch 91: Loss_1 3.006025486978991, Loss_2 0.9230737063685074
Epoch 92: Loss_1 3.006668483095216, Loss_2 0.9241172178038235
Epoch 93: Loss_1 3.0051104881493327, Loss_2 0.9096936480752353
Epoch 94: Loss_1 3.0017643726518, Loss_2 0.9250262209347316
Epoch 95: Loss_1 3.0026397611120066, Loss_2 0.9110106758296196
Epoch 95: ADE 0.7158762216567993, ACC 83.41670344554922
Epoch 96: Loss_1 3.0005392065189156, Loss_2 0.9264078842008056
Epoch 97: Loss_1 2.9995109659110386, Loss_2 0.93583192819445
Epoch 98: Loss_1 2.9997793171793368, Loss_2 0.9345028194887884
Epoch 99: Loss_1 2.9951859295661816, Loss_2 0.9101537263452126
Epoch 100: Loss_1 2.996821695947882, Loss_2 0.9081347934130964
Epoch 100: ADE 0.7204370498657227, ACC 83.2962660417089
Epoch 101: Loss_1 2.9965041329708004, Loss_2 0.9180791891854385
Epoch 102: Loss_1 2.99630241441022, Loss_2 0.9362792014488446
Epoch 103: Loss_1 2.997279683944627, Loss_2 0.917515642537272
Epoch 104: Loss_1 2.992844625059607, Loss_2 0.9175604053318794
Epoch 105: Loss_1 2.9941938863012005, Loss_2 0.9231294061750027
Epoch 105: ADE 0.7155787944793701, ACC 83.46271472926428
Epoch 106: Loss_1 2.991462942414683, Loss_2 0.9166209631659127
Epoch 107: Loss_1 2.9958055888490724, Loss_2 0.9216518730952822
Epoch 108: Loss_1 2.9889760569398627, Loss_2 0.9293466815220311
Epoch 109: Loss_1 2.9941393753577925, Loss_2 0.9068074919320093
Epoch 110: Loss_1 2.99346745190362, Loss_2 0.9063090828839194
Epoch 110: ADE 0.7077422738075256, ACC 83.69817985863799
Epoch 111: Loss_1 2.9858047985678238, Loss_2 0.9075293805211636
Epoch 112: Loss_1 2.985771207386637, Loss_2 0.9039645051134044
Epoch 113: Loss_1 2.990726034042283, Loss_2 0.902275869118169
Epoch 114: Loss_1 2.984784220239799, Loss_2 0.9376328992726181
Epoch 115: Loss_1 2.980772737211782, Loss_2 0.9195618300602354
Epoch 115: ADE 0.7132599949836731, ACC 83.80139752828721
Epoch 116: Loss_1 2.9864732173863304, Loss_2 0.9281113928761976
Epoch 117: Loss_1 2.9829110512005284, Loss_2 0.8842236934037044
Epoch 118: Loss_1 2.97869626289518, Loss_2 0.9000896679356768
Epoch 119: Loss_1 2.9816451636441235, Loss_2 0.9234277233114383
Epoch 120: Loss_1 2.9816268735331266, Loss_2 0.920181174290004
Epoch 120: ADE 0.7069178819656372, ACC 83.82311523356562
Epoch 121: Loss_1 2.9815049147958237, Loss_2 0.9282181098543364
Epoch 122: Loss_1 2.9776173941607547, Loss_2 0.9034119964820411
Epoch 123: Loss_1 2.97696826375764, Loss_2 0.9143338197557797
Epoch 124: Loss_1 2.9824115513580773, Loss_2 0.9218357437349892
Epoch 125: Loss_1 2.9792763834516403, Loss_2 0.8841542554606358
Epoch 125: ADE 0.7241755723953247, ACC 83.17026541904082
Epoch 126: Loss_1 2.9778391892099614, Loss_2 0.9088173030045232
Epoch 127: Loss_1 2.9759109278617824, Loss_2 0.9338458476982681
Epoch 128: Loss_1 2.9770342434568358, Loss_2 0.9230833033035541
Epoch 129: Loss_1 2.972387437162728, Loss_2 0.8973755721975429
Epoch 130: Loss_1 2.969809622600161, Loss_2 0.9253348778621316
Epoch 130: ADE 0.7280806303024292, ACC 83.2184905848919
Epoch 131: Loss_1 2.9739857542103736, Loss_2 0.9277490854556925
Epoch 132: Loss_1 2.968199569016255, Loss_2 0.8963230851248567
Epoch 133: Loss_1 2.9730283180481107, Loss_2 0.889566953252689
Epoch 134: Loss_1 2.970532690950215, Loss_2 0.9079677116107471
Epoch 135: Loss_1 2.9723022947170463, Loss_2 0.9165660853456394
Epoch 135: ADE 0.7180395722389221, ACC 83.37757621687092
Epoch 136: Loss_1 2.971041960082031, Loss_2 0.9131708937912739
Epoch 137: Loss_1 2.96869285588194, Loss_2 0.9065188583482076
Epoch 138: Loss_1 2.9687180025824187, Loss_2 0.901763750120924
Epoch 139: Loss_1 2.9725488406684013, Loss_2 0.9002910039107788
Epoch 140: Loss_1 2.962525354817583, Loss_2 0.9053736998529857
Epoch 140: ADE 0.7178167104721069, ACC 83.58869307794708
Epoch 141: Loss_1 2.969809138716148, Loss_2 0.9185497208769098
Epoch 142: Loss_1 2.9683255984865387, Loss_2 0.9137901243905129
Epoch 143: Loss_1 2.9609060945182013, Loss_2 0.8973877701559677
Epoch 144: Loss_1 2.9591963079762578, Loss_2 0.9082785480715371
Epoch 145: Loss_1 2.963704311201725, Loss_2 0.9075899908108077
Epoch 145: ADE 0.7098507285118103, ACC 83.68135526983345
Epoch 146: Loss_1 2.960713637873457, Loss_2 0.9112204116553508
Epoch 147: Loss_1 2.9659669375771958, Loss_2 0.9033377326180783
Epoch 148: Loss_1 2.9669598570010933, Loss_2 0.9218998218111216
Epoch 149: Loss_1 2.9649676254817416, Loss_2 0.9160224833511954
Epoch 150: Loss_1 2.9572726811094237, Loss_2 0.9331513314411558
Epoch 150: ADE 0.7172770500183105, ACC 83.35229634832397
Epoch 151: Loss_1 2.961542020290356, Loss_2 0.9037582519019178
